rating_id,user_id,food_id,food_code,rating,User_ID,Food_ID
3,1,120,27445220,2,0,40
4,1,176,32105210,2,0,59
5,1,184,41311030,3,0,65
6,1,193,42401100,2,0,69
7,4,365,42403010,4,1,70
8,4,156,28340110,5,1,53
9,4,400,73105010,4,1,110
11,5,333,11511400,5,2,13
12,5,158,28340610,5,2,54
13,5,212,58156110,1,2,80
14,10,333,11511400,4,5,13
15,10,370,61210010,4,5,88
16,10,273,72307000,3,5,108
17,10,319,11320000,2,5,1
20,11,302,11111160,5,6,0
24,11,158,28340610,5,6,54
27,12,326,11350010,5,7,5
29,12,379,64101010,4,7,91
30,12,178,32105240,5,7,61
31,12,328,11350030,5,7,7
32,13,325,11350000,3,8,4
33,13,178,32105240,4,8,61
34,13,189,41812400,5,8,67
35,13,379,64101010,5,8,91
36,13,16,14710200,5,8,17
38,14,379,64101010,4,9,91
39,15,325,11350000,5,10,4
40,15,327,11350020,4,10,6
41,15,405,75200700,4,10,115
42,15,379,64101010,5,10,91
43,15,16,14710200,5,10,17
44,16,197,58150100,4,11,72
45,18,327,11350020,4,13,6
46,17,178,32105240,4,12,61
47,17,379,64101010,3,12,91
48,18,328,11350030,3,13,7
49,17,151,28310110,3,12,51
50,17,382,64104600,2,12,94
51,18,151,28310110,3,13,51
52,17,325,11350000,3,12,4
53,18,381,64104030,4,13,93
54,18,354,11513854,5,13,15
55,19,380,64104010,5,14,92
56,19,400,73105010,5,14,110
57,19,170,32103030,5,14,57
58,19,388,64133100,5,14,97
59,19,109,27350070,4,14,35
60,19,23,26109133,3,14,18
61,16,380,64104010,2,11,92
63,16,198,58150520,1,11,73
64,16,354,11513854,4,11,15
65,21,395,64201010,4,15,99
66,21,381,64104030,3,15,93
67,21,328,11350030,5,15,7
68,21,16,14710200,3,15,17
69,21,432,92550360,2,15,128
70,22,380,64104010,4,16,92
71,22,381,64104030,5,16,93
72,22,325,11350000,4,16,4
73,22,182,41221020,3,16,63
74,22,8,11432000,5,16,9
75,22,366,42404010,5,16,71
76,22,55,26205160,4,16,23
79,23,96,27243100,5,17,31
80,23,96,27243100,5,17,31
81,23,181,41203030,4,17,62
82,23,399,73105000,2,17,109
83,23,270,72202010,3,17,106
84,23,400,73105010,5,17,110
85,23,296,75608100,4,17,123
86,5,228,58164210,4,2,85
87,5,101,27250160,3,2,34
88,5,176,32105210,1,2,59
89,5,328,11350030,2,2,7
90,5,120,27445220,4,2,40
91,5,133,27450070,1,2,44
93,6,122,27450020,3,3,42
94,6,212,58156110,1,3,80
95,6,96,27243100,5,3,31
96,6,98,27250030,3,3,33
97,6,379,64101010,1,3,91
98,9,176,32105210,5,4,59
99,9,450,92613510,1,4,134
100,9,147,27550720,5,4,49
101,9,161,28350050,5,4,55
102,9,154,28311010,3,4,52
103,9,228,58164210,3,4,85
104,27,45,26137123,3,18,21
105,27,111,27350410,4,18,36
106,27,101,27250160,1,18,34
107,27,15,11446000,3,18,11
110,28,120,27445220,3,19,40
111,28,158,28340610,4,19,54
112,28,101,27250160,2,19,34
113,28,379,64101010,5,19,91
114,28,98,27250030,5,19,33
115,29,96,27243100,4,20,31
116,29,161,28350050,5,20,55
117,29,45,26137123,2,20,21
118,29,228,58164210,2,20,85
119,29,287,75418030,2,20,119
120,29,101,27250160,5,20,34
121,29,98,27250030,2,20,33
122,29,286,75418020,3,20,118
124,30,73,26315190,3,21,25
125,30,96,27243100,3,21,31
126,28,96,27243100,5,19,31
127,30,136,27450100,2,21,46
128,30,293,75440610,1,21,122
129,30,271,72202020,2,21,107
130,30,205,58151230,3,21,79
131,30,13,11435100,2,21,10
132,31,448,92611100,1,22,132
133,31,25,26109143,5,22,19
134,31,279,75148010,3,22,114
135,31,185,41311040,2,22,66
137,32,393,64134100,2,23,98
138,32,117,27415140,5,23,38
140,32,333,11511400,5,23,13
141,32,387,64132500,1,23,96
142,32,176,32105210,3,23,59
143,32,89,27150010,2,23,27
144,33,219,58163130,2,24,83
145,33,277,75146000,2,24,112
146,34,403,75132000,4,25,111
147,34,158,28340610,5,25,54
149,35,324,11321200,5,26,3
150,35,158,28340610,4,26,54
151,35,95,27213010,4,26,30
152,35,328,11350030,1,26,7
153,35,400,73105010,3,26,110
154,36,278,75147000,4,27,113
155,36,158,28340610,3,27,54
156,36,176,32105210,3,27,59
157,36,133,27450070,1,27,44
158,36,433,92550370,2,27,129
159,36,385,64124020,4,27,95
160,36,238,58404500,3,27,87
161,37,287,75418030,2,28,119
162,37,301,75657000,2,28,124
163,37,267,72125260,2,28,104
164,37,176,32105210,1,28,59
165,37,228,58164210,5,28,85
166,38,193,42401100,2,29,69
167,38,120,27445220,4,29,40
168,38,156,28340110,1,29,53
169,38,154,28311010,3,29,52
170,38,324,11321200,2,29,3
171,38,433,92550370,3,29,129
172,38,15,11446000,4,29,11
173,39,146,27550420,3,30,48
174,39,95,27213010,4,30,30
175,39,161,28350050,4,30,55
176,39,286,75418020,1,30,118
177,39,98,27250030,4,30,33
179,40,171,32103035,5,31,58
180,40,181,41203030,2,31,62
181,40,109,27350070,1,31,35
182,40,205,58151230,5,31,79
183,40,474,95312410,5,31,139
184,41,176,32105210,3,32,59
185,41,120,27445220,4,32,40
187,42,474,95312410,5,33,139
188,42,121,27450010,1,33,41
189,42,98,27250030,2,33,33
190,42,111,27350410,1,33,36
191,42,45,26137123,3,33,21
192,43,385,64124020,1,34,95
193,43,133,27450070,3,34,44
194,43,158,28340610,3,34,54
195,43,450,92613510,2,34,134
196,43,176,32105210,2,34,59
197,44,286,75418020,3,35,118
198,44,73,26315190,3,35,25
199,45,193,42401100,1,36,69
200,45,171,32103035,5,36,58
201,45,324,11321200,3,36,3
202,46,177,32105230,3,37,60
203,46,89,27150010,5,37,27
204,46,13,11435100,2,37,10
206,46,181,41203030,5,37,62
207,4,177,32105230,1,1,60
208,47,325,11350000,5,38,4
209,47,328,11350030,5,38,7
210,47,380,64104010,5,38,92
211,47,178,32105240,5,38,61
212,47,399,73105000,5,38,109
214,48,190,41812450,3,39,68
215,48,177,32105230,3,39,60
216,48,120,27445220,3,39,40
217,49,296,75608100,5,40,123
218,49,45,26137123,4,40,21
219,49,265,71803010,5,40,103
220,49,324,11321200,5,40,3
221,50,219,58163130,5,41,83
222,50,448,92611100,1,41,132
223,50,333,11511400,5,41,13
224,50,393,64134100,2,41,98
225,51,450,92613510,3,42,134
226,51,219,58163130,1,42,83
227,52,473,95312400,1,43,138
228,52,73,26315190,3,43,25
229,52,161,28350050,5,43,55
230,52,228,58164210,5,43,85
231,52,403,75132000,3,43,111
232,52,393,64134100,4,43,98
233,52,95,27213010,2,43,30
234,52,98,27250030,4,43,33
235,52,177,32105230,3,43,60
236,52,278,75147000,5,43,113
237,53,218,58162310,3,44,82
238,53,193,42401100,2,44,69
239,53,264,71801100,4,44,102
240,53,400,73105010,1,44,110
241,53,120,27445220,5,44,40
242,53,158,28340610,5,44,54
243,53,96,27243100,1,44,31
244,53,13,11435100,4,44,10
245,53,203,58151210,1,44,77
246,53,134,27450080,1,44,45
247,53,176,32105210,4,44,59
248,54,282,75403200,2,45,117
249,54,202,58151200,5,45,76
250,55,433,92550370,1,46,129
251,55,328,11350030,2,46,7
252,55,286,75418020,3,46,118
253,56,98,27250030,2,47,33
255,56,278,75147000,3,47,113
256,56,161,28350050,2,47,55
257,57,39,26127123,3,48,20
258,57,193,42401100,4,48,69
259,57,120,27445220,3,48,40
260,57,158,28340610,4,48,54
261,57,52,26153122,5,48,22
262,57,177,32105230,1,48,60
263,57,96,27243100,2,48,31
264,57,328,11350030,4,48,7
265,57,205,58151230,5,48,79
266,57,330,11370000,1,48,8
267,58,270,72202010,2,49,106
268,58,263,71704000,4,49,101
269,58,97,27250020,1,49,32
270,58,158,28340610,3,49,54
271,59,387,64132500,4,50,96
272,59,287,75418030,2,50,119
273,59,176,32105210,2,50,59
274,59,141,27451070,1,50,47
276,60,287,75418030,3,51,119
277,60,96,27243100,3,51,31
278,60,136,27450100,5,51,46
279,60,278,75147000,1,51,113
280,60,286,75418020,3,51,118
281,60,158,28340610,2,51,54
283,60,296,75608100,4,51,123
284,60,324,11321200,5,51,3
285,61,120,27445220,1,52,40
286,62,277,75146000,3,53,112
287,62,185,41311040,2,53,66
288,62,324,11321200,2,53,3
289,62,330,11370000,1,53,8
290,63,111,27350410,2,54,36
291,63,45,26137123,5,54,21
292,63,387,64132500,2,54,96
293,63,147,27550720,5,54,49
294,63,474,95312410,1,54,139
295,64,15,11446000,4,55,11
296,64,181,41203030,2,55,62
297,64,193,42401100,3,55,69
298,64,214,58160000,3,55,81
299,64,77,26319121,5,55,26
300,64,251,71601040,3,55,100
302,64,393,64134100,4,55,98
303,65,96,27243100,5,56,31
304,65,271,72202020,5,56,107
305,66,98,27250030,1,57,33
306,66,393,64134100,3,57,98
307,66,214,58160000,2,57,81
308,66,96,27243100,2,57,31
309,66,301,75657000,3,57,124
310,66,89,27150010,2,57,27
311,66,115,27363100,1,57,37
312,67,176,32105210,3,58,59
313,67,120,27445220,2,58,40
314,67,161,28350050,5,58,55
315,67,98,27250030,2,58,33
316,67,205,58151230,3,58,79
317,68,251,71601040,2,59,100
318,68,433,92550370,1,59,129
319,68,177,32105230,5,59,60
320,68,98,27250030,4,59,33
321,68,39,26127123,1,59,20
322,69,176,32105210,4,60,59
323,69,219,58163130,4,60,83
324,69,324,11321200,3,60,3
325,69,120,27445220,1,60,40
326,69,77,26319121,2,60,26
327,69,171,32103035,2,60,58
328,70,416,92510955,5,61,126
329,70,185,41311040,5,61,66
330,70,289,75418060,3,61,120
331,70,379,64101010,2,61,91
332,70,433,92550370,2,61,129
333,70,449,92613010,4,61,133
334,70,25,26109143,2,61,19
335,70,101,27250160,5,61,34
336,71,287,75418030,1,62,119
337,71,251,71601040,2,62,100
338,71,161,28350050,3,62,55
339,71,89,27150010,4,62,27
340,71,158,28340610,1,62,54
341,71,428,92550040,4,62,127
342,71,39,26127123,5,62,20
343,72,123,27450030,5,63,43
344,72,450,92613510,2,63,134
345,72,161,28350050,3,63,55
347,79,25,26109143,5,64,19
348,79,177,32105230,4,64,60
349,79,393,64134100,3,64,98
350,79,372,61210250,1,64,89
351,79,52,26153122,2,64,22
352,79,109,27350070,1,64,35
353,80,147,27550720,4,65,49
354,80,98,27250030,1,65,33
355,80,183,41311020,5,65,64
356,80,282,75403200,4,65,117
357,80,45,26137123,2,65,21
358,81,450,92613510,1,66,134
359,81,328,11350030,4,66,7
360,81,96,27243100,5,66,31
361,81,176,32105210,3,66,59
362,81,293,75440610,2,66,122
363,81,193,42401100,4,66,69
364,81,185,41311040,1,66,66
365,81,330,11370000,5,66,8
366,81,184,41311030,1,66,65
367,81,219,58163130,1,66,83
368,82,171,32103035,2,67,58
369,82,388,64133100,1,67,97
370,82,286,75418020,1,67,118
371,82,158,28340610,2,67,54
372,82,176,32105210,3,67,59
373,82,120,27445220,4,67,40
374,82,156,28340110,2,67,53
375,82,96,27243100,3,67,31
376,42,120,27445220,5,33,40
381,83,25,26109143,5,68,19
382,83,120,27445220,2,68,40
383,83,158,28340610,5,68,54
384,84,365,42403010,2,69,70
385,84,118,27416400,4,69,39
386,84,435,92550400,4,69,130
387,84,281,75403020,3,69,116
389,84,171,32103035,1,69,58
390,85,166,28355310,1,70,56
391,85,474,95312410,5,70,139
392,86,433,92550370,4,71,129
393,86,185,41311040,5,71,66
394,86,93,27150410,2,71,28
395,86,449,92613010,2,71,133
396,86,193,42401100,5,71,69
397,86,267,72125260,3,71,104
398,87,120,27445220,1,72,40
399,87,433,92550370,4,72,129
400,87,133,27450070,1,72,44
401,88,214,58160000,3,73,81
402,88,120,27445220,2,73,40
403,88,45,26137123,2,73,21
404,89,120,27445220,2,74,40
405,89,146,27550420,4,74,48
406,89,171,32103035,4,74,58
407,89,403,75132000,4,74,111
408,89,96,27243100,2,74,31
409,89,251,71601040,4,74,100
410,89,176,32105210,4,74,59
411,89,25,26109143,1,74,19
412,89,117,27415140,1,74,38
413,89,238,58404500,2,74,87
414,89,301,75657000,5,74,124
415,90,101,27250160,2,75,34
416,90,205,58151230,5,75,79
417,90,161,28350050,5,75,55
418,90,387,64132500,4,75,96
419,90,324,11321200,5,75,3
420,90,45,26137123,3,75,21
421,84,205,58151230,1,69,79
422,35,45,26137123,2,26,21
423,39,45,26137123,3,30,21
424,91,146,27550420,3,76,48
425,91,193,42401100,1,76,69
426,91,271,72202020,3,76,107
427,92,176,32105210,4,77,59
428,92,385,64124020,3,77,95
429,93,378,64100220,4,78,90
430,93,147,27550720,4,78,49
432,30,378,64100220,1,21,90
433,48,378,64100220,5,39,90
434,56,378,64100220,1,47,90
435,94,141,27451070,1,79,47
436,94,293,75440610,4,79,122
437,94,435,92550400,5,79,130
438,94,328,11350030,5,79,7
439,94,176,32105210,2,79,59
440,94,115,27363100,2,79,37
444,95,45,26137123,5,80,21
445,95,428,92550040,2,80,127
446,95,115,27363100,3,80,37
447,95,94,27151070,3,80,29
448,95,212,58156110,3,80,80
449,95,387,64132500,5,80,96
450,95,433,92550370,4,80,129
451,95,177,32105230,5,80,60
452,96,176,32105210,5,81,59
453,96,121,27450010,2,81,41
454,96,193,42401100,5,81,69
455,96,330,11370000,5,81,8
456,97,120,27445220,2,82,40
457,97,324,11321200,4,82,3
458,97,328,11350030,1,82,7
459,97,147,27550720,2,82,49
461,97,185,41311040,3,82,66
462,97,146,27550420,4,82,48
463,97,341,11513370,3,82,14
464,97,450,92613510,4,82,134
465,98,296,75608100,2,83,123
466,98,289,75418060,5,83,120
467,98,166,28355310,1,83,56
468,98,341,11513370,3,83,14
469,98,324,11321200,4,83,3
470,98,450,92613510,2,83,134
471,98,136,27450100,1,83,46
472,99,433,92550370,3,84,129
473,99,324,11321200,1,84,3
474,100,293,75440610,4,85,122
475,100,341,11513370,4,85,14
476,100,324,11321200,4,85,3
477,100,330,11370000,2,85,8
478,101,341,11513370,2,86,14
479,101,473,95312400,3,86,138
480,101,25,26109143,3,86,19
481,59,473,95312400,4,50,138
482,97,473,95312400,5,82,138
483,102,416,92510955,2,87,126
484,102,271,72202020,1,87,107
