food_id,food_code,name,category,type,calories,protein,carbs,fat,fiber,sugar,vitamin_a,vitamin_b6,vitamin_b12,vitamin_c,vitamin_d,vitamin_e
8,11432000,"Yogurt, low fat milk, fruit",Yogurt,Food,89.0,4.66,14.46,1.37,0.1,12.01,12.0,0.046,0.49,1.8,1.2,0.04
13,11435100,"Yogurt, Greek, with oats",Yogurt,Food,160.0,8.9,22.38,4.29,1.9,12.07,88.0,0.077,0.53,0.1,0.7,0.24
15,11446000,"Yogurt parfait, low fat, with fruit",Yogurt,Food,84.0,3.36,15.86,1.01,1.1,11.68,30.0,0.233,0.88,14.3,1.2,0.25
16,14710200,"Beer cheese soup, made with milk",Soups,Food,192.0,6.19,6.52,15.43,0.3,0.8,182.0,0.037,0.26,0.3,0.3,0.45
23,26109133,"Cod, coated, baked or broiled, no added fat",Fish,Food,137.0,17.32,13.1,1.16,0.6,1.15,9.0,0.121,1.81,0.0,0.6,0.54
25,26109143,"Cod, coated, fried, no added fat",Fish,Food,148.0,18.87,11.6,2.31,0.7,1.03,19.0,0.141,1.93,0.0,0.7,0.67
39,26127123,"Perch, baked or broiled, no added fat",Fish,Food,115.0,24.42,0.1,1.16,0.0,0.04,10.0,0.137,2.15,2.2,3.8,0.25
45,26137123,"Salmon, baked or broiled, no added fat",Fish,Food,160.0,25.82,0.1,5.54,0.0,0.04,40.0,0.693,4.7,0.5,13.7,0.51
52,26153122,"Tuna, fresh, baked or broiled, no added fat",Fish,Food,138.0,30.73,0.1,0.62,0.0,0.04,20.0,1.058,2.36,0.5,2.1,0.3
55,26205160,"Octopus, steamed",Shellfish,Food,163.0,29.62,4.37,2.07,0.0,0.0,89.0,0.644,35.76,7.9,0.0,1.19
62,26303160,"Clams, steamed or boiled",Shellfish,Food,171.0,29.21,7.11,1.91,0.0,0.0,161.0,0.018,20.22,0.0,0.0,1.35
73,26315190,"Oysters, smoked",Shellfish,Food,82.0,9.2,4.38,2.76,0.0,1.0,20.0,0.047,14.1,0.0,0.0,1.37
77,26319121,"Shrimp, baked or broiled, made with butter",Shellfish,Food,111.0,16.26,1.18,4.19,0.0,0.04,80.0,0.183,1.26,0.5,0.1,1.66
89,27150010,"Fish with cream or white sauce, not tuna or lobster",Seafood mixed dishes,Food,115.0,17.04,2.74,3.57,0.0,1.38,50.0,0.249,0.86,0.7,1.2,0.85
93,27150410,Shrimp teriyaki,Stir-fry and soy-based sauce mixtures,Food,120.0,21.62,3.34,1.56,0.0,1.76,82.0,0.234,1.52,0.0,0.1,2.02
94,27151070,"Stewed codfish, no potatoes, Puerto Rican style",Seafood mixed dishes,Food,105.0,12.05,4.27,4.42,1.1,2.05,10.0,0.161,1.14,18.4,0.4,1.46
95,27213010,Biryani with meat,Rice mixed dishes,Food,145.0,8.5,12.2,6.77,1.0,1.69,16.0,0.136,0.47,5.6,0.1,0.25
96,27243100,Biryani with chicken,Rice mixed dishes,Food,103.0,7.15,13.57,2.36,1.1,1.87,19.0,0.177,0.12,6.3,0.1,0.32
97,27250020,"Clams, stuffed",Seafood mixed dishes,Food,200.0,11.87,12.94,11.08,0.9,1.57,154.0,0.054,6.78,1.4,0.5,1.57
98,27250030,Codfish ball or cake,Seafood mixed dishes,Food,191.0,14.32,10.57,9.85,1.2,1.01,46.0,0.206,0.67,0.5,0.8,1.36
101,27250160,Tuna cake or patty,Seafood mixed dishes,Food,209.0,15.34,2.63,14.88,0.2,0.51,28.0,0.232,1.75,0.3,1.1,1.28
109,27350070,Tuna pot pie,Seafood mixed dishes,Food,221.0,8.96,16.5,13.16,1.3,1.64,152.0,0.06,0.47,1.4,1.7,1.0
111,27350410,Tuna noodle casserole with vegetables and mushroom sauce,Seafood mixed dishes,Food,124.0,7.97,12.97,4.43,1.0,1.47,29.0,0.134,0.78,2.7,0.5,0.33
115,27363100,Jambalaya with meat and rice,Rice mixed dishes,Food,162.0,13.77,8.64,7.97,0.7,0.94,8.0,0.23,0.32,6.4,0.2,0.68
